SMILE,label
CC[C@@H](OC(N)=O)C1CCCCC1,1
CO[C@@H]1CN(CC2Cc3ccc(C#N)cc3C2)CCC1n1c(C(C)(C)O)nc2cc(C)ccc21,1
NNO,1
CC(Cc1ccccc1)N(C)C,1
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,1
CC1C=Nc2c1c(=O)[nH]c(=O)n2C,1
CNC(=O)C(NC(=O)C(CC(C)C)C(O)C(=O)NO)C(C)(C)C,0
CC(C)O,1
NC(=S)[C@@H]1[C@@H](c2ccccc2)[C@@H]1S(=O)(=O)c1ccc(Cl)cc1,0
Nc1ccc(S(=O)(=O)N2CC3CCC(CC3)C2)cc1,1
O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,1
CC[C@@]1(c2ccccc2)CCC(=O)NC1=O,1
Cc1cc(=O)oc2cc(O)ccc12,0
CN1CCOC(c2ccccc2)c2ccccc2C1,1
CN1CCC[C@@H](CN2c3ccccc3Sc3ccccc32)C1,1
CN(C)CCOC1(Cc2ccccc2)CC2CCC1(C)C2(C)C,1
CNCCC=C1c2ccccc2C2CC2c2ccccc21,1
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,1
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,1
CC[C@@H](C)[C@](C)(COC(N)=O)COC(=O)NC(C)C,1
COc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,1
O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],0
CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1
CC(C)CC(N)C(=O)O,1
O=C1CC2(CCCC2)CC(=O)N1CCNC[C@@H]1COc2ccccc2O1,1
CCC1NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC1=O,0
CC(=O)NCCn1c(C)cc(C=O)c1C,1
CC(C)(C)C(=O)OCOC(=O)[C@H]1N2C(=O)[C@@H](N=CN3CCCCCC3)[C@H]2SC1(C)C,0
c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1,1
OCCN1CC(O)C(O)C(O)C1CO,0
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,0
O=C1N(C(O)C(Cl)(Cl)Cl)CNC1(c1ccccc1)c1ccccc1,1
CC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O,1
O=C1CCC2CCC(=O)N12,1
Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1,1
Nc1cc(OCC2CC2)c(C(=O)NC2CN3CCC2CC3)cc1Cl,1
O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,1
CCN(CC)C(=O)N[C@H]1C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,1
CCN[C@@H](Cc1ccccc1)[C@@H]1CCCO1,1
CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1,0
COc1cc(C(=O)N2CCCCCCC2)cc(OC)c1OC,1
CC(=O)Nc1ccccc1,1
CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O,0
O=c1[nH]c(CCCN2CCC(c3ccccc3)CC2)nc2c(Cl)cccc12,1
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,0
CCCOC(=O)c1cncn1C(C)c1ccccc1,1
CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,0
C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,1
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO,1
CC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,1
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)/C(=N/OC)[C@H](C)[C@@H](O)[C@]1(C)O,0
CC(O)C1C(=O)N2C(C(=O)O)=C(SCCN=CN)CC12,0
COc1ccc2c(c1)C(N1CCN(C)CC1)=Cc1ccccc1O2,1
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,0
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,0
CC1CCNC2C1NC(=O)C1CCCNC1N2C1CC1,1
CCC(OC(N)=O)C1CCCCC1,1
COC(=O)C1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C4NC(=O)C(NC(=O)C(N)c5ccc(O)c(c5)Oc5cc4cc(O)c5C)C(O)c4ccc(c(Cl)c4)Oc4cc3cc(c4O)Oc3ccc(cc3Cl)C2OC2OC(CO)C(O)C(O)C2NC(C)=O)c2ccc(O)c(c2)-c2c(O)cc(O)cc21,0
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1C(=O)COC(=O)C(C)(C)C,1
N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,1
CS(=O)(=O)[C@@H]1[C@H](c2ccc3c(c2)OCO3)[C@@]1(N)CO,0
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,0
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,0
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O,1
O=c1[nH]c2cc(Cl)ccc2n1C1CCN(C[C@H]2COc3ccccc3O2)CC1,1
CN1CCN(C2=Nc3cscc3/C(=C/C#N)c3cscc32)CC1,1
C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@@H]21,1
CC(=O)C1=C(O)[C@]2(O)C(=O)c3c(c(C)c4ccc(C)c(O)c4c3O)C[C@H]2[C@H](N)C1=O,0
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@H](O)[C@H]3C[C@@H]12,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1,0
On1ccccc1=S,0
CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C1COc2cccc(OC)c2C1,1
CN[C@@H]1[C@@H](O[C@H]2O[C@H](CO)[C@@H](N)[C@H](O)[C@H]2O)OC2C[C@@H](N)[C@@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)O[C@@H]2[C@@H]1O,0
COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,1
Nc1nc(=S)c2[nH]cnc2[nH]1,0
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,0
Cc1nc(C)c(C)nc1C,1
CC(C)[C@H](CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,1
CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0
CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,0
CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0
CN(C)CC/C=C1\c2ccccc2COc2ccccc21,1
Nc1ccc(C(=O)NCC(=O)O)cc1,0
CN(C)CCN(C)n1cc(-c2ccccc2)c2ccccc21,1
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,1
CCC(C)(C)C,1
CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1
CCOC(=O)[C@@]1(c2ccccc2)CCC=C[C@H]1N(C)C,1
O=[N+]([O-])c1c(Cc2ccccc2)c[nH]c1NCCSCc1ccccn1,1
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,0
O=C(O)CCCCC1SCC2NC(=O)NC21,1
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@@H](O)[C@H](O)[C@H](O)CO)c2cc1C,1
O=C(c1ccc(F)cc1)C1CCN(CCCn2c(=O)[nH]c3cc(Cl)ccc32)CC1,1
C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,1
CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,0
O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1
CC[C@H](NC(=O)c1ccc(CSc2ccc(Cl)cc2)cc1)c1ccc(C)c(C)c1,0
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0
CCOC(C)(C)C,1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C(=O)N2[C@H]1C(=O)O,0
CCC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,1
COc1ccc(C(=O)N2CCCC2=O)cc1,1
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CS,1
CN=C(NC#N)NCCSCc1nc[nH]c1C,0
CN1CC(NS(=O)(=O)N(C)C)CC2c3cccc4c3c(cn4C)CC21,1
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,0
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,1
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,1
NCc1cccc(NC(=O)c2ccc3ccccc3c2)c1,1
CCOc1ccccc1OCC1CNCCO1,1
Oc1c(Cl)cc(Cl)cc1Cc1c(O)c(Cl)cc(Cl)c1Cl,0
NCCc1nccs1,1
CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,0
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,1
Fc1ccc(Cn2c([C@H]3CNCCO3)nc3ccccc32)cc1,1
CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,1
CC(=O)Oc1ccc(/C=C/C(=O)NCCc2ccccc2)cc1OC(C)=O,0
C[C@@H](CN1C(=O)c2cccnc2Nc2ccccc21)N(C)C,1
CC(C)(CO)C(O)C(=O)NCCC(=O)O,0
OCc1ccccc1,1
CCN(CC)[C@@H](C)CN1c2ccccc2Sc2ccccc21,1
CCc1c(O)c(=O)ccn1CC,1
Cc1nc2n(n1)C(N1CCN(C)CC1)=Nc1cc(I)ccc1C2,1
C=CCSCC(=O)N[C@@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)O,0
CCCCCCCCCC,1
CNC[C@@H](O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,0
CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,0
CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0
COC(=O)[C@@]1(O)CC[C@H]2C3CCC(=O)C4C(=O)C=CC4(C)[C@H]3C(O)CC21C,1
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C)CS[C@H]12)c1csc(N)n1,0
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,0
C=CCN1CCc2nc(N)sc2CC1,1
CC(Cc1ccccc1)NN,1
C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,0
C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,1
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,0
CCC(=O)N[C@@H]1C(=O)NC(=O)NC1=NC[C@H](O)[C@H](O)[C@H](O)CO,1
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,1
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,0
CN(C)C(=O)COC1c2ccccc2CCc2ccccc21,1
CCCCCCCCC[C@@]1(C)OC[C@@H](COC(N)=O)O1,1
CCCCOC(C)=O,1
O=c1[nH]cnc2c1ncn2[C@@H]1CC[C@H](CO)O1,0
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,1
CCC1(O)CCC2C3CCC4=CCCCC4C3CCC21C,0
CO[C@]1(F)C(F)(F)[C@]1(F)Cl,1
COC1=CC(=O)O[C@H]1[C@@H](O)c1ccccc1Cl,1
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,0
O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,0
CC1N=C(N)Nc2cccc(Cl)c21,1
CC(S)C(=O)NCC(=O)O,0
C[C@@H]1[C@@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC1CC1,1
C=CCN1C(=O)[C@H](CC(C)C)NC1=S,1
CCCNC(=O)c1ccc2c(c1)N(C(C)CN1CCCC1)c1ccccc1S2,1
COc1cc2sc(C3CC3)nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1,1
CC(C)(C)NC[C@@H](O)c1ccc(O)c(NC(N)=O)c1,0
CCN(CC)CC(=O)Nc1c(C)cccc1C,1
Cc1cc2c(c(=O)n1CCc1ccc(O)cc1)[C@@H](c1cc3cc4c(cc3[nH]c1=O)OCCO4)CC(=O)O2,0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,1
NC(=O)N1c2ccccc2[C@H]2O[C@@H]2c2ccccc21,1
NC(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3cn[nH]n3)CS[C@H]12)c1ccc(O)cc1,0
CCCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,1
CN1C2CCC1CC(OC(=O)C(C)(CO)c1ccccc1)C2,1
CCCC(C)=O,1
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,1
O=C(Nc1ccc(OC2CCCC2)cc1)c1cc2c(ccc3ccccc32)o1,1
CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0
NCC1(CC(=O)O)CCCCC1,1
COc1ccc(OC[C@H]2CN(C)CC[C@@H]2c2ccccc2)cc1,1
CC(=O)c1ccc([C@H](O)[C@H](CO)NC(=O)C(Cl)Cl)cc1,1
CC(CCN1CCN(c2ccc(F)cc2)CC1)NC(=O)c1cccnc1,1
CC(C)(C)/[N+]([O-])=C\c1ccccc1,1
CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,1
NCCS,0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1
O=c1[nH]c2ccccc2n1C1CCN(CCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
O=c1ccn([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1,1
CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1
CCC(=O)OC1(c2ccccc2)CCN(C)CC1C,1
C=C1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1
C[C@H]1CCCC[C@]1(c1cccs1)N1CCCCC1,1
CCCC(CC)C1(CC)C(=O)NC(=S)NC1=O,1
CCN(CC)C(=O)NC1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,1
c1ccc(-c2cc(-c3ccccc3)c(N3CCN(c4ncccn4)CC3)nn2)cc1,1
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,1
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,0
O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0
C[C@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1
CC[C@]1(C)CC(=O)NC1=O,1
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,0
NC(N)=NCCN1CCCCCCC1,0
COc1ccc([C@@H]2[C@H](CO)[C@@H]2S(=O)(=O)c2ccc(C)cc2)cc1,1
NCCCS(=O)(=O)O,1
CN1[C@H]2CC[C@H]1CC(OC(=O)[C@@H](O)c1ccccc1)C2,0
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)O,1
NCC1OC(OC2C(N)CC(NC(CO)CO)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)C(O)C1O,0
O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,0
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,0
N=C1SCCN1c1ccc(Cl)cc1N,1
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccccc1)C(=O)CO,1
CCC1(c2ccccc2)C(=O)NC(=O)N1C,1
CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccccc1,0
Cc1ccc(C(N)=NC=N)cc1,0
CN1CCC(C)(CN2c3ccccc3Sc3ccccc32)C1,1
C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC2(C)C1C(=O)CO,1
C[C@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@@H](C)[C@H]12,0
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,0
COc1ccc([C@@H]2[C@H](S(=O)(=O)c3ccc(Cl)cc3)C2(CO)CO)cc1,0
Cc1nc(NCc2cccnc2)c(C#N)c(=O)[nH]1,1
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0
CC(C)Oc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,1
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,1
CC(C)CC(CN)CC(=O)O,1
OC1COC2C(O)COC12,0
O=[N+]([O-])c1nccn1C[C@H](O)CF,1
Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,0
NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,0
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,1
OCCN1CCN(CCCN2c3ccccc3Sc3cc(Cl)cnc32)CC1,1
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0
CN1CC[C@@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@@H]3[C@@H]1C5,1
Cc1cccc(O[C@H]2CCNC[C@@H]2O)c1C,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,0
CC(=O)Oc1ccc2c3c1O[C@H]1[C@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,1
CC(C)[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)[C@@H](CO)c1ccccc1)C2,0
CC(C)N[C@H]1C2CCC(CC2)[C@@]1(O)c1ccc(Cl)c(Cl)c1,1
CC1(C)O[C@H]2COC3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@H]2O1,1
C1COC(NC(C2CC2)C2CC2)=N1,0
O=C1NCN(c2ccccc2)C12CCN(C[C@@H]1COc3ccccc3O1)CC2,1
C[C@@H](CC1c2ccccc2CCc2ccccc21)CN(C)C,1
CC1(C)S[C@H]2[C@@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OCOC(=O)[C@@H]1N2C(=O)C[C@@H]2S(=O)(=O)C1(C)C,0
CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=C[C@]5(C)C4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1
CC1(C)SC2C(NC(=O)CSc3ccccc3)C(=O)N2C1C(=O)O,0
ClCC(Cl)Cl,1
NNC(=O)CP(=O)(c1ccccc1)c1ccccc1,1
CN1CCCc2cccc(OC[C@H]3CNCCO3)c21,1
CC(=O)O[C@@H](c1ccccc1)[C@H]1CCCCN1,1
CCN(CC)C(=O)[C@H]1[C@H]2C=C[C@H](C2)[C@H]1C(=O)N(CC)CC,1
COC[C@@H]1CN=C(c2ccccc2Cl)c2cc(Br)ccc2N1C,1
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,1
CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,1
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C)CS[C@H]12)c1csc(N)n1,0
CC(CN1CCN(CCOCCO)CC1)CN1c2ccccc2Sc2ccccc21,1
CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,0
CO/N=C\C1=CCCN(C)C1,1
CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1,1
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1,0
CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1
CC(=O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,1
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,0
CCCC(CC)C1(CC)C(=O)NC(=O)NC1=O,1
CC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]c1=O,0
C=C(C)[C@@H]1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,1
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,0
CCOP(=O)(OCC)SCC[N+](C)(C)C,0
CN=C(C[N+](=O)[O-])NCCCSc1ccc(CN(C)C)o1,0
c1ccc2c(CCC3CCNCC3)c[nH]c2c1,1
Cc1c(Cl)cccc1Nc1ncccc1C(=O)O,0
Cc1ccc(Cn2c([C@H]3CNCCO3)nc3ccccc32)cc1,1
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0
O=C(NCCc1ccc(O)c(O)c1)C12CC3CC(CC(C3)C1)C2,1
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,1
Cc1cnc(N=C(N)N)s1,1
CC[C@H](C(N)=O)N1CCCC1=O,1
Nc1cc(OCC2CC2)c(C(=O)N[C@H]2CN3CCC2CC3)cc1Cl,1
